From,To
P48744,Q00604
Q62433,Q92597
Q9QYG0,Q9UN36
Q9QYF9,Q9UGV2
Q8BTG7,Q9ULP0
Q3UHN9,P52848
P52850,P52849
Q9EQH7,O95803
Q9EQW8,Q9H3R1
O35683,O15239
Q99LC3,O95299
Q9D8B4,Q86Y39
,Q86Y39
Q7TMF3,Q9UI09
Q9ERS2,Q9P0J0
Q9CQ75,O43678
Q9CQ91,O95167
Q62425,O00483
Q4FZG9,Q9NRX3
Q9CPP6,Q16718
Q9CQZ5,P56556
Q9Z1P6,O95182
Q9DCJ5,P51970
Q9DC69,Q16795
Q9CR21,O14561
,O14561
Q9CWX2,Q9Y375
Q59J78,Q8N183
Q9JKL4,Q9BU61
Q9D1H6,Q9P032
A2APY7,Q5TEU4
A2AIL4,Q330K2
Q9CWG8,Q7L592
A2AMZ4,A1L188
P0DN34,O75438
Q9DCS9,O96000
O09111,Q9NX14
Q9CQ68,Q9NX14
Q9CPU2,O95178
Q9CQZ6,O43676
Q9CQC7,O95168
,O95168
,O95168
Q9CQH3,O43674
Q3UIU2,O95139
Q9CR61,P17568
Q9D6J5,O95169
Q9CQJ8,Q9Y6M9
Q9CQY9,O43677
Q9CQ54,O95298
Q9CQ54,E9PQ53
Q91VD9,P28331
Q91WD5,O75306
Q9DCT2,O75489
Q9CXZ1,O43181
Q99LY9,O43920
P52503,O75380
,O75380
Q9DC70,O75251
Q8K3J1,O00217
Q91YT0,P49821
Q9D6J6,P19404
Q8BK30,P56181
,
A0A571BF58,P20929
Q0II04,O76041
Q8BG18,Q8N987
Q91ZP9,Q7Z6G3
Q9D6J4,Q96P71
Q9CR95,Q8NC96
Q9D1J1,Q9NVZ3
Q9JKF6,Q15223
P32507,Q92692
Q9JLB9,Q9NQS3
Q8R007,Q96NY8
P33215,Q8NHV4
P46935,P46934
Q8CFI0,Q96PU5
P29595,Q15843
O35177,Q14511
P19246,P12036
P08551,P07196
P08553,P07197
Q80Z24,Q7Z3B1
Q8K4Q6,Q96FI4
Q6R2P8,Q969S2
Q8K203,Q8TAT5
P51954,Q96PY6
Q3UGM2,Q6ZWH5
Q8C0Q4,Q8NG66
O35942,P51955
Q9R0A5,P51956
Q9Z1J2,P51957
Q7TSC3,Q6P3R8
Q9ES70,Q9HC98
Q9ES74,Q8TDX7
Q91ZR4,Q8TD19
Q8K1R7,Q8TD19
Q8BG30,Q9H3P2
Q8C4Y3,Q8WX92
Q922L6,Q8IXH7
P19426,P18615
Q2VWQ2,Q92832
Q61220,Q99435
Q8CCP0,O60524
Q6ZQE4,O14524
Q8CB65,A6NFY4
Q9CQ45,Q9UMX5
P97798,Q92859
Q9CQ76,
Q8R2U2,Q6NW34
Q6P5H2,P48681
Q9Z206,Q9Y345
Q8R4I7,Q8TDF5
Q8BNJ6,Q8NC67
O35657,Q99519
Q9JMH3,Q9Y3R4
Q9JMH7,Q9UQ49
Q8BZL1,Q8WWR8
Q923S6,O76050
Q0MW30,A8MQ27
Q9D0S4,Q9BR09
Q8CJC5,Q96EH8
Q5NCX5,Q96JN8
Q60867,Q13562
Q62414,Q15784
O09105,Q9HD90
P48986,Q96NK8
P70660,Q92886
P70447,Q9H2A3
P70661,Q9Y4Z2
Q5DTT1,Q5QGS0
Q7TPW1,Q0ZGT2
Q04690,P21359
P46662,P35240
Q8R4V1,Q8NET5
Q810U3,O94856
Q9WV30,O94916
O88942,O95644
Q60591,Q13469
O09130,Q8NCF5
P97305,Q12968
Q8K120,Q14934
Q07279,Q16621
Q61985,Q14494
Q60795,Q16236
Q9WTM4,Q9Y4A8
Q02780,Q12857
P97863,O00712
P70255,P08651
O08750,Q16649
A0A5F8MPM5,A0A5F9ZHS7
P70257,Q14938
P25799,P19838
Q9WTK5,Q00653
Q9Z1E3,P25963
Q60778,Q15653
Q2TB02,Q8NI38
O54910,O00221
O88995,Q9UBC1
Q9EST8,Q9BYH8
Q6PIJ4,Q6P4R8
Q9Z1J3,Q9Y697
Q9QZ23,Q9UMS0
B1AY10,Q12986
E9Q8I7,Q6ZNB6
P23708,P23511
P63139,P25208
P70353,Q13952
Q9ER97,Q9NPG2
Q9DB96,Q8NEJ9
Q8CHT1,Q8N5V2
P01139,P01138
Q9Z0W1,P08138
Q9JI78,Q96IV0
Q99KS2,Q9NPE2
Q3KNJ2,Q9H9Q4
P70441,O14745
Q9JHL1,Q15599
Q99MJ6,Q86UT5
Q02576,Q02575
Q64221,Q02577
Q8BR37,Q6VVB1
Q8BZW8,Q8NBF2
Q8CCH2,Q5JS37
Q3UP44,P0CG21
Q9CRB2,Q9NX24
B1AV60,Q6T4R5
Q8CAF4,Q5SYE7
B1AXH1,Q5HYW2
Q3UW53,Q9BZQ8
Q8R1F1,Q96TA1
D3YZB0,Q86XR2
Q9CQM0,Q9BSH3
P10493,P14543
O88322,Q14112
Q9EQ80,Q9GZT8
Q91VE6,Q9BYG3
Q8BHI9,Q8IY84
Q61043,Q8N4C6
O70131,Q92982
Q9JL89,Q9NZG7
Q6ZQ12,Q9Y2I6
Q9CXK8,Q9Y221
Q8BHK1,Q7RTP0
Q9JJC8,Q8N8Q9
Q8BMW7,Q6NVV3
Q91WC7,Q9H841
Q8BGN5,Q6P499
Q8BZF2,Q0D2K0
Q6KCD5,Q6KC79
O55125,Q9BPW8
O55126,O75323
B1AWZ3,Q9UFN0
Q9CQE1,Q9UFN0
B1AWZ3,Q9BS92
Q9CQE1,Q9BS92
Q80TM9,Q9Y2I1
Q8VDK1,Q86X76
Q9JHW2,Q9NQR4
Q9D035,Q4KMZ8
Q4PNJ2,Q5VXU1
Q3URJ8,Q8N8D7
Q9JMG4,Q8IVV8
Q9D0F4,Q8N5F7
E9PUQ3,Q6ZUT1
Q5SZT7,Q5M9Q1
Q99MH6,Q969G9
Q8VE28,Q969F2
Q99PA5,Q16617
Q8CEC5,Q9NYS0
Q9CR56,Q9NYR9
Q0VF94,Q17RQ9
Q8BY02,O15226
P30415,P30414
G3UXB3,Q15270
P42580,Q9UD57
P50220,P43699
P42586,O95096
P97334,Q8TAU0
Q9EQM3,Q9H2Z4
P42582,P52952
P43688,A6NCS4
O70584,O15522
P97436,Q99801
P97503,P78367
Q99MA9,P78426
D3Z4R4,Q9C056
Q3UHX8,A6NJ46
Q8VEJ4,Q9NVX2
Q99K10,Q8N2Q7
Q69ZK9,Q8NFZ4
Q8BYM5,Q9NZ94
B0F2B4,Q8N0W4
B0F2B4,Q8NFZ3
O54949,Q9UBE8
Q91YP2,Q9BYT8
Q5DU56,Q7RTR2
Q3UP24,Q9NPP4
C3VPR6,Q86WI3
Q2LKU9,Q9C000
A1Z198,Q9C000
Q8CCN1,Q86W26
E9Q5R7,P59046
Q6B966,Q86W24
Q4PLS0,Q9NX02
Q8R4B8,Q96P20
Q8BU40,Q96MN2
Q8C6J9,Q96MN2
Q3TKR3,Q96MN2
Q66X19,Q96MN2
Q66X05,Q96MN2
Q9R1M5,P59047
Q91WS2,P59044
Q4PLS0,Q8WX94
Q66X03,Q7RTR0
Q66X22,Q7RTR0
Q66X01,Q7RTR0
Q3TL44,Q86UT6
Q9CR53,Q14956
O54799,P28336
Q99L48,Q96D46
P15532,P15531
,Q32Q12
Q01768,Q32Q12
,P22392
Q01768,P22392
,O60361
Q01768,O60361
Q9WV85,Q13232
Q9WV84,O00746
Q99MH5,P56597
O88425,O75414
Q9QXL8,Q9Y5B8
Q715T0,Q8N427
A0A1L1SUL6,Q86XW9
O35309,Q13287
Q9EPA7,Q9HAN9
Q8BNJ3,Q9BZQ4
Q99JR6,Q96T66
Q8K2T1,Q9HBL8
Q91W63,Q9NWW6
Q9D7C9,Q9NPI5
Q5H8A1,Q5H8A3
O70310,P30419
O70311,O60551
Q9QXK8,P48645
O55040,Q9HB89
Q8BZ39,Q9GZQ4
Q61979,Q16517
O55239,P40261
Q61941,Q13423
Q9JJG9,Q8NC60
Q8BW10,Q9ULX3
Q8VIH1,O60393
Q9WV70,Q9Y3T9
Q8VI84,Q8WTT2
Q8BHY2,Q9BVI4
O35710,Q9UK39
Q8BHB0,Q9Y239
Q8K3Z0,Q9HC29
P43021,Q96S42
P97466,Q13253
Q5RJG1,Q9BSC4
Q8BJW5,Q9H8H0
Q8BG17,Q9UGY1
Q9D1X0,O60936
P60954,O94818
Q6DIB4,Q96MY1
Q8R5K4,Q9H6R4
Q9D7Z3,Q9UMY1
Q3UHX0,Q76FK4
Q3TZX8,Q5SY16
E9Q5C9,Q14978
Q3UFM5,Q5C9Z4
Q6GQT9,Q15155
Q6GQT9,Q5JPE7
Q6GQT9,P69849
Q99K48,Q15233
Q9CQS2,Q9NPE3
Q8R3N1,P78316
Q9CPT5,Q9Y3C1
Q922K7,P46087
Q8BK35,Q9NZM5
Q9D6Z1,O00567
Q6DFW4,Q9Y2X3
Q8BMC4,Q86U38
Q9CX66,Q8N5I9
,
Q9Z0J4,Q8WY41
Q9D3A8,O75052
P29477,P60321
P70313,P60323
Q9D6T0,Q9Y314
Q6WKZ7,Q8IVI9
Q01705,P46531
O35516,Q04721
Q61982,Q9UM47
P31695,Q99466
Q5TIS6,A8MTQ0
Q8R116,Q6P988
Q9JKN6,P51513
A0A1W2P872,Q9UNW9
Q8CIZ9,Q9Y5S8
Q672J9,Q9HBY0
Q9JHI8,Q9NPH5
Q8CJ00,Q86UR1
Q8VCM2,Q8NFA2
Q9D3S5,Q6NXP6
P97459,Q99742
P97460,Q99743
Q9QZQ0,Q8IXF0
Q8BGD7,Q8IUM7
Q8BMA5,Q14207
Q8K4P1,Q8NG41
P49681,P48145
O35604,O15118
Q6T3U4,Q9UHC9
Q9Z0J0,P61916
Q64322,Q9NQX5
Q6NSR8,Q8NDH3
Q11011,P55786
Q9WVA8,O15130
E9Q468,Q9GZQ6
Q924H0,Q9Y5X5
Q9QY53,O15259
Q7TNH6,Q7Z494
P59240,O75161
Q9QZS7,O60500
Q91X05,Q9NP85
Q9DCJ9,Q9BXD5
P60670,Q8TAT6
Q61937,P06748
Q80W85,Q86SE8
Q9CPP0,O75607
Q91V88,Q6UXI9
P05125,P01160
P40753,P16860
Q61839,P23582
P18293,P16066
Q6VVW5,P20594
P70180,P17342
Q9WUE4,Q8WTW4
Q8VIJ8,Q12980
P0C0P8,P0C0P6
Q8BZP8,Q6W5P4
P97300,Q9Y639
Q62443,Q15818
O70340,P47972
Q99J85,O95502
Q9ESQ8,Q9HCQ7
F7B5D6,Q8N729
P57774,P01303
Q04573,P25929
P97295,P49146
Q61041,P50391
Q61041,P0DQD5
O70342,Q15761
Q61212,Q99463
Q64669,P15559
Q9JI75,P16083
Q61066,P51843
Q62227,Q15466
Q3UV55,P20393
Q60674,Q14995
Q60644,P55055
Q9Z0Y9,Q13133
Q60641,Q96RI1
E9Q5A6,
O54915,O75469
O35627,Q14994
Q505F1,P13056
P49117,P49116
Q3TV70,Q86WQ0
Q64104,Q9Y466
Q9QXZ7,Q9Y5X4
Q60632,P10589
P43135,P24468
P43136,P10588
P06537,P04150
Q8VII8,P08235
P12813,P22736
Q06219,P43354
Q9QZB6,Q92570
P33242,Q13285
P45448,O00482
Q64249,Q15406
Q8CJ26,
Q80XB4,Q86VF7
Q91ZA8,Q7Z6K4
P08556,P01111
Q8VCQ3,Q96F24
Q99J45,Q9UHY1
Q91V36,Q9NSY0
Q810U4,Q92823
Q8BHG1,O43847
Q80XC6,Q9H7Z3
Q07475,Q16612
Q9WU00,Q16656
Q6DR98,Q02297
P56974,O14511
O35181,P56975
Q9WTX4,Q8WWG1
P60761,Q92686
Q8CBD1,P48552
Q9JHR9,Q9BQI9
Q9JJR9,Q9NQ35
Q9R0G8,Q7Z2Y5
P54846,P54845
Q8VC65,Q8IXM6
Q8CFV4,Q9NPD7
Q8C4W3,Q496H8
,
P97333,Q92832
O35375,Q99435
Q8BMT4,Q86YC3
P97799,Q8IZ57
Q5HZK2,Q9GZP1
P97463,Q99748
Q9CS84,Q9ULB1
E9Q7X7,Q9P2S2
Q6P9K9,Q9Y4C0
Q9CR47,O95478
O88491,Q96L73
Q8BVE8,O96028
Q6P2L6,Q9BZ95
Q9R1J0,Q15738
P46460,P46459
Q9CZ44,Q9UNZ2
Q62092,P42857
P47759,Q9Y328
Q8K305,Q96IY1
O35242,Q92636
Q9D720,Q8WV22
Q91VT1,Q96MF7
Q99PB1,Q96MG7
Q9CPR8,Q96MG7
G3XA30,Q9NXX6
Q99NF2,Q6X4W1
Q5NCR9,Q9H0G5
Q1HFZ0,Q08J23
Q8CCT7,Q9H649
C4P6S0,Q96CB9
Q8K4F6,Q96P11
Q8K4F6,Q3KNT7
Q8K4F6,Q63ZY6
Q7TS68,Q8TEA1
Q14AW5,Q8NE18
Q9JM14,Q8TCD5
A3KFX0,Q9BXI3
Q91YE9,Q96P26
Q91YE9,C9J2C7
Q3V1L4,P49902
Q9D020,Q9H0P0
Q3UFY7,Q969T7
Q8C5P5,Q5TFE4
A0A2I3BR81,Q9H857
Q3UHB1,Q86UY8
Q61503,P21589
Q9D3Z8,
Q8VCE6,Q9NPB1
Q64311,Q96AB6
Q80WB5,Q96HA8
P20181,P20783
Q80VU4,P34130
O35980,P78549
Q99PJ0,Q9P121
Q8R2U4,Q9BV86
B2RXM4,Q5VVY1
O09118,O95631
Q9R1A3,O00634
Q9JI33,Q9HB63
Q3UQ22,Q8WTR8
Q8R4G0,Q9Y2I2
Q8R4F1,Q96CW9
Q9CQA9,Q9BSD7
Q3UFB7,P04629
P15209,Q16620
Q6VNS1,Q16288
Q9D3P9,P30990
O88319,P30989
P70310,O95665
Q641K5,O60285
Q8BZN4,Q9H093
P54729,Q9Y5A7
Q9R060,P53384
Q9R061,Q9Y5Y2
Q9CWD8,Q8TB37
Q02819,Q02818
P81117,P80303
Q80XU3,Q9H1E3
O35685,Q9Y266
Q6PIP5,Q96RS6
Q9CQ48,Q8WVJ2
Q8R1N4,Q8IVD9
P53368,P36639
P0C027,Q9BW91
P0C028,Q9BW91
P0C027,Q96G61
P0C028,Q96G61
Q9DCN1,Q9BQG2
Q8JZU0,Q86X67
Q9D142,O95848
Q8BG93,Q9NV35
Q6P3D0,Q96DE0
Q8VHN8,Q9BRJ7
E9Q9G1,
Q9CWD3,P0C025
Q3U2V3,Q6ZVK8
P11930,A8MXV4
P56380,P50583
Q9CQF3,O43809
Q9DD16,Q9BRQ3
Q9JI46,O95989
Q8R2U6,Q9NZJ9
Q8R2U6,A0A024RBG1
Q9JKX6,Q9UKK9
Q8CH40,P53370
Q99P30,P0C024
Q9CR24,Q8WV74
Q8BVU5,Q9BW91
Q99P69,Q9BZD4
Q9QXX8,Q9UHK0
Q5F2E7,Q7Z417
D3YWJ0,Q68CJ6
E9Q7G0,Q14980
Q9QZS3,P49757
O08919,Q9Y6R0
Q8BH74,P57740
Q8R0G9,Q8WUM0
E9Q3G8,P49790
Q99P88,O75694
Q9Z0W3,Q12769
Q6ZQH8,Q5SRE5
A0A0J9YUD5,Q92621
Q9QY81,Q8TEM1
Q9D2F7,Q5VU65
Q80U93,P35658
Q8R4R6,Q8NFH5
Q9CWU9,Q8NFH4
Q8CIC2,O15504
P59235,Q8NFH3
Q9JIH2,Q9UKX7
Q3V2K7,Q9UKX7
Q8BTS4,Q7Z3B4
Q8R332,Q9BVL2
Q63850,P37198
A2AG10,Q9H1M0
Q8R480,Q9BW27
Q8CEC0,Q99567
Q8BJ71,Q8N1F7
Q6PFD9,P52948
Q9WTK0,O60356
Q497P3,A6NF83
Q99LJ8,Q96E22
Q9ERH4,Q9BXS6
P61971,P61970
,P61970
,P61970
Q8BHP2,Q86Y26
Q3V0C3,Q8IVF1
Q3V0C3,A6NNL0
Q3V0C3,Q5VT03
Q3V0C3,B1AL46
Q3V0C3,A1L443
Q3V0C3,Q5VZR2
Q9DBY8,O15381
A6H603,Q149M9
Q6P5U7,Q9ULI1
Q99JX7,Q9UBU9
Q4ZGD8,Q9GZY0
Q80SZ6,Q9GZY0
Q4ZGD8,Q9GZY0
Q80SZ6,Q9GZY0
Q4ZGD9,Q9H4D5
Q4ZGD8,Q9H1B4
Q80SZ6,Q9H1B4
P97346,Q6DKJ4
Q8VC33,Q96CM4
Q9D531,Q5VZ03
Q3U095,Q96DL1
B9EKK6,Q969Y0
Q52KP5,Q6UWF7
Q61200,P58417
Q61199,O95156
Q91VX5,O95157
G3X9N5,O95158
Q9QZV9,Q9UKK6
Q3UNA4,Q9NPJ8
Q6PFX7,Q6ZVC0
Q8BM65,Q9P242
Q5DTZ0,Q9P2P1
P83503,Q9GZU5
Q8BML2,
Q8QZR4,Q86UD1
Q8R5F3,Q9Y530
P11928,P00973
Q60856,P00973
Q924S2,P00973
Q8VI95,P00973
A0A0J9YV76,P00973
Q14AZ4,P00973
Q8K469,P00973
Q8VI97,P00973
E9Q9A9,P29728
Q8VI93,Q9Y6K5
Q8VI94,Q15646
Q9Z2F2,
P29758,P04181
P54369,P54368
O08608,O95190
Q9R109,Q9UMX2
Q8K2Y0,Q5W0B1
Q62472,Q9NY56
Q8K1H9,Q9NY56
A2BHR0,Q9NY56
Q62472,Q9NPH6
Q8K1H9,Q9NPH6
A2BHR0,Q9NPH6
A2AAJ9,Q5VST9
D3YYU8,O75147
Q9Z0L3,Q02509
Q62052,Q04671
Q8VCR9,Q9H607
Q9CRD0,Q9NX40
Q9D8W7,Q56VL3
Q61146,Q16625
P51879,P0CE72
P51879,P0CE71
Q6NVF0,Q01968
Q9D611,Q9BR26
Q3UX62,Q96M63
B2RY50,Q5T2S8
Q8BSN3,A5D8V7
Q9D4B2,Q96NG3
A1E960,A1E959
J3QNT8,Q17RF5
P00860,P11926
Q61999,Q14990
A3KGV1,Q5BJF6
Q9D478,Q9ULJ1
Q920N1,Q96PU9
Q5M8M2,A8MYP8
Q810P2,Q8IXM7
Q3TZ65,Q3SX64
Q8VI88,Q2M2E3
Q4PJX1,Q5SWX8
Q8BGX4,Q8IZS5
Q80Z25,O75665
Q9EQQ9,O60502
Q60597,Q02218
E9Q7L0,Q9ULD0
Q3U0K8,Q8N543
Q9CQ04,Q6N063
Q9D136,Q6PK18
Q99PG2,Q9NZT2
Q8VE52,Q5TC84
O08760,O15527
Q62000,P20774
Q8CGY8,O15294
A2AQ14,O43482
Q8R4V5,Q8WWZ8
Q9CZ30,Q9NTK5
Q8R197,Q9NV23
O88998,Q99784
Q8BM13,O95897
P63056,Q96PB7
Q3UZZ4,Q6UX06
Q8BU90,
Q8BSH2,Q6UWY5
Q8BHP7,Q68BL7
Q3V1G4,Q68BL8
Q8BK62,Q9NRN5
Q9JKN5,Q8TAK6
Q9EQW6,Q13516
Q6PFG8,Q7RTU3
Q9EQ09,P78380
Q9D8H7,Q96E52
O35103,Q99983
Q63912,P23515
Q64288,P47874
O08755,Q9UBC0
Q6XBJ3,O95948
Q8K557,O60422
Q9CWE6,A6NGQ2
Q925U0,A8MZH6
Q4FZG8,Q86WS3
P58281,O60313
Q505D7,Q9H6K4
Q7M750,Q96PE5
G5E8G3,Q14982
Q99J31,O60890
Q8K010,O14841
O35599,P04000
O35599,P04001
O35599,P0DN77
O35599,P0DN78
P51491,P03999
Q9WUK7,Q9H1Y3
Q9QXZ9,Q9UHM6
Q6VZZ7,Q6U736
P32300,P41143
P33534,P41145
P35377,P41146
P42866,P35372
Q920A0,Q9UBM4
Q8K3K8,Q96CV9
Q7TRN0,Q9H208
Q920G5,Q9H208
Q8VEW1,P58181
Q8VFZ5,P58181
Q8VFZ4,P58181
K7N645,P58181
Q8VFZ6,P58181
Q7TRU4,P58181
Q7TRM9,Q9H209
Q7TRN0,Q9H207
Q920G5,Q9H207
Q8VEW1,Q8NH74
Q8VFZ5,Q8NH74
Q8VFZ4,Q8NH74
K7N645,Q8NH74
Q8VFZ6,Q8NH74
Q7TRU4,Q8NH74
A0A0B4J1M2,Q8NH08
E9PZS7,Q8NGE0
A0A2I3BRI6,Q8NGE0
E9Q1P2,Q8NGE0
A2AT85,Q8NH19
A0A1L1SRZ5,Q8NH19
A0A1L1STN9,Q8NH19
Q8VGT9,Q8NH19
Q8VFE2,Q96KK4
Q8VEY3,Q8NH80
Q7TRA9,Q8NGN7
Q8VET5,Q8NGN7
Q9EQ84,Q8NGN7
E9PZZ6,Q8NGC3
E9PWU0,Q8NGC3
Q8VF72,Q8NGC4
L7N457,Q8NGC4
E9Q985,Q8NGN3
Q8VH10,Q8NGN3
Q8VH08,Q8NGN3
Q8VEU2,Q8NH81
E9Q985,Q8NGN6
Q8VH10,Q8NGN6
Q8VH08,Q8NGN6
E9Q985,Q8NGN5
Q8VH10,Q8NGN5
Q8VH08,Q8NGN5
E9Q985,Q8NGN4
Q8VH10,Q8NGN4
Q8VH08,Q8NGN4
A0A2I3BQR4,Q9Y4A9
A0A2I3BPU7,Q9Y4A9
K7N6V7,Q9Y4A9
A0A2I3BQR4,O60403
A0A2I3BPU7,O60403
K7N6V7,O60403
Q8VBW9,O60404
Q8VBW9,Q8NGA5
A0A2I3BQR4,Q8NGA6
A0A2I3BPU7,Q8NGA6
K7N6V7,Q8NGA6
A0A140T8J6,P30954
E9PWV2,Q5JRS4
Q8VGE1,Q5JRS4
Q62007,Q8NHC4
E9Q848,Q6IF99
Q8VGJ1,Q8NGE3
Q8VGP8,Q8NGQ4
Q8VEZ4,Q8NGQ4
Q8VEZ5,Q8NGQ4
A0A2I3BRV4,Q8NGX6
Q8VGB3,Q8NGN2
A0A2I3BRV4,Q8NGX3
Q8VF55,Q8NGI7
A0A1L1SVH0,Q8NGF6
A0A140LHU2,Q8NGF6
F8VQB1,Q8NGY0
E9Q1L6,Q8NGY0
E9Q0Y7,Q8NGY1
Q8VFE3,Q9GZK7
L7N1X7,Q8NGC1
Q7TRM0,Q8NGC1
E9Q1P0,Q8NGC1
A2RTP5,Q8NGC1
L7N1Y2,Q8NGC1
E9PV79,Q8NGC1
E9Q438,Q8NGC9
E9PXH6,Q8NGC9
Q7TRL9,Q8NGC7
E9Q9Z0,Q8NGC8
E9Q840,Q8NGC8
Q5NCD0,Q8NGX0
Q920Z0,P0DN82
Q920Y8,P0DN82
A0A2I3BRX0,P0DN82
A0A2I3BRW3,P0DN82
A0A2I3BQG5,P0DN82
B2RT33,P0DN82
Q920Z0,P58182
Q920Y8,P58182
A0A2I3BRX0,P58182
A0A2I3BRW3,P58182
A0A2I3BQG5,P58182
B2RT33,P58182
Q8VG96,Q9UGF7
Q8VGH2,Q8NGR1
A0A1L1SQH2,Q8NGS9
Q8VG87,Q8NGS6
A0A1L1SQH2,Q8NGS8
Q9QZ22,P0DN81
Q8VGA9,P0DN81
Q9QZ20,P0DN81
Q9QZ19,P0DN81
Q8VGA0,Q8NGS7
A0A1L1SQH2,Q8NGT0
Q7TS19,Q8NGV5
Q7TS18,Q8NGS4
Q7TS01,Q8NGZ3
Q9QZ18,Q8NGT2
A0A0U1RPZ4,Q8NHC5
F7CWV4,Q96R54
Q7TS06,Q96R54
Q7TS03,Q96R54
Q7TS02,Q96R54
Q8VFN8,Q96R54
F8VQ84,Q8NHC7
Q7TS10,Q8NHC7
Q7TS08,Q8NHC7
Q7TS05,Q8NHC7
Q7TS04,Q8NHC7
Q7TS07,Q8NHC7
B2RVZ1,Q8NHC7
Q14AJ9,Q9UGF5
A0A0U1RPZ4,Q8NHC6
Q7TRX2,Q9P1Q5
Q7TRX1,Q9P1Q5
Q7TRX2,Q9Y585
Q7TRX1,Q9Y585
Q8VGV7,Q8NGR6
Q8VGH0,Q15619
Q7TRW7,P34982
Q7TRW7,P47884
Q7TRW7,P58170
Q7TRX9,P30953
Q8VGI1,P30953
Q7TRX4,P30953
Q8VGT2,P30953
E9Q4M1,P30953
A0A0U1RNF5,P30953
Q8VGT3,P30953
Q5SSP0,P30953
Q8VF79,P30953
Q7TRX8,P30953
Q8VGT1,P30953
Q7TRX7,P30953
Q8VEZ7,P30953
A0A0U1RNJ4,P30953
Q7TRX6,P30953
Q8VGR6,P30953
Q8VGR5,P30953
Q8VGR3,P30953
Q7TRX9,P47887
Q8VGI1,P47887
Q7TRX4,P47887
Q8VGT2,P47887
E9Q4M1,P47887
A0A0U1RNF5,P47887
Q8VGT3,P47887
Q5SSP0,P47887
Q8VF79,P47887
Q7TRX8,P47887
Q8VGT1,P47887
Q7TRX7,P47887
Q8VEZ7,P47887
A0A0U1RNJ4,P47887
Q7TRX6,P47887
Q8VGR6,P47887
Q8VGR5,P47887
Q8VGR3,P47887
Q7TRX9,Q8WZA6
Q8VGI1,Q8WZA6
Q7TRX4,Q8WZA6
Q8VGT2,Q8WZA6
E9Q4M1,Q8WZA6
A0A0U1RNF5,Q8WZA6
Q8VGT3,Q8WZA6
Q5SSP0,Q8WZA6
Q8VF79,Q8WZA6
Q7TRX8,Q8WZA6
Q8VGT1,Q8WZA6
Q7TRX7,Q8WZA6
Q8VEZ7,Q8WZA6
A0A0U1RNJ4,Q8WZA6
Q7TRX6,Q8WZA6
Q8VGR6,Q8WZA6
Q8VGR5,Q8WZA6
Q8VGR3,Q8WZA6
Q8VGB9,O43749
A0A1W2P740,Q8NHA8
Q8VGB9,Q96R84
Q7TQU7,O60431
Q60879,Q8NGS3
Q8VGK3,Q8NGS2
Q8VFP8,Q8NGS1
Q8VFT2,Q8NGR5
A0A140T8Q2,Q8NGR5
Q8VFT2,Q8NGR2
A0A140T8Q2,Q8NGR2
Q8VFP6,Q8NGR8
Q8VFM9,Q8NGA1
Q8VGK1,Q8NGS0
Q8VGK0,Q8NGS0
Q8VGJ8,Q8NGR9
B1ARL3,Q8NH06
Q7TRX0,Q8NH06
Q8VFP4,Q15612
Q8VFY0,A0A286YEU6
B9EHG2,Q8NH92
B9EHG2,Q8NGQ3
Q8VF17,A0A2R8YEG4
Q8VFS3,A0A2R8YEG4
Q8VF18,A0A2R8YEG4
Q8VEV0,Q8NGT7
K9J725,Q96R47
Q8VFS5,Q96R47
Q8VFS6,Q96R47
Q8VEV1,Q6IF42
Q8VGP6,A0A126GWI2
P34984,O95047
Q8VF17,A0A2R8YEV3
Q8VFS3,A0A2R8YEV3
Q8VF18,A0A2R8YEV3
Q8VES9,Q96R48
P34984,Q96R45
Q9EPF7,Q9H205
Q8VF89,Q9H205
Q8VFM3,Q9H205
Q8VFM4,Q9H205
Q7TRN4,Q9H205
Q7TRN3,Q9H205
Q8VFM5,Q9H205
Q9EPF5,Q9H205
K7N641,Q9H205
Q9EPF8,Q9H205
Q9EPF6,Q9H205
Q9D3U9,Q9H205
Q9EPF7,A6NM03
Q8VF89,A6NM03
Q8VFM3,A6NM03
Q8VFM4,A6NM03
Q7TRN4,A6NM03
Q7TRN3,A6NM03
Q8VFM5,A6NM03
Q9EPF5,A6NM03
K7N641,A6NM03
Q9EPF8,A6NM03
Q9EPF6,A6NM03
Q9D3U9,A6NM03
Q7TS53,Q8NGZ0
Q8VGL6,Q8NGZ0
G5E8J1,Q8NGZ0
A0A0N4SVP2,Q8NG84
Q5NCD7,Q8NG84
L7MTY4,Q8NG84
Q7TRZ4,Q8NG84
Q8VG33,Q8NGE2
Q7TRI6,Q8NGE2
E9Q518,A6NND4
Q7TS30,Q5JQS5
Q7TQU5,Q9GZK3
K9J6X0,Q9GZK3
Q60890,P58173
P23275,O95371
Q8VG49,Q9H210
E9Q725,Q9H210
K7N662,Q8NGH3
Q9EPG6,Q8NGH3
A0A0R4J8U2,Q8NGH3
A0A140T8J9,Q8NGH3
Q7TRV7,Q13607
Q8VGP4,Q13607
Q7TRV8,O95006
Q7TQT1,Q5TZ20
Q7TQT5,Q5TZ20
Q7TQT4,Q5TZ20
Q7TQT3,Q5TZ20
Q7TQT2,Q5TZ20
Q8VFA8,Q5TZ20
Q8VFA9,Q5TZ20
Q8VFA3,Q5TZ20
Q8VGW9,Q5TZ20
